Name,Twitter Handle,Follower Count,Tier,Niche,Engagement Rate,Estimated Cost,Content Style,Past Partnerships,Priority,Notes
Cobie,@cobie,675000,Macro,DeFi/Trading,4.5%,$8000-15000,Analysis & Commentary,Multiple DeFi protocols,Medium,High credibility but expensive
GCR,@GiganticRebirth,420000,Macro,Trading/Alpha,3.2%,$6000-12000,Alpha Calls & Trading,Selective partnerships,Low,Expensive for ROI
Hsaka,@HsakaTrades,280000,Mid-Tier,Trading/Technical,5.1%,$3000-5000,Chart Analysis,Various DeFi,High,Strong trading community
DeFi Dad,@DeFi_Dad,245000,Mid-Tier,DeFi Education,6.2%,$2500-4000,Educational Threads,Uniswap Compound,High,Perfect for explaining dual liquidity
Milk Road (Shaan),@MilkRoadDaily,180000,Mid-Tier,Crypto News,4.8%,$3000-5000,Daily Newsletter,Various Web3,Medium,Newsletter reach is valuable
The DeFi Edge,@thedefiedge,165000,Mid-Tier,DeFi Strategy,7.1%,$2000-3500,Strategy Guides,Multiple protocols,High,Educational style fits well
CryptoCobain,@CryptoCobain,430000,Macro,Degen Trading,2.9%,$5000-10000,Memes & Alpha,Selective,Low,High reach but low engagement
Ansem,@blknoiz06,310000,Macro,Altcoin Trading,3.5%,$4000-8000,Trading Calls,Various projects,Medium,Strong trader following
Gainzy,@gainzy222,95000,Micro,DeFi/Yield,8.2%,$800-1200,Yield Strategies,Curve Convex,High,Excellent engagement rate
Flip,@ThinkingUSD,125000,Mid-Tier,Market Analysis,5.5%,$1500-2500,Macro Analysis,Few partnerships,High,Smart analytical content
Route2FI,@Route2FI,88000,Micro,DeFi Education,7.8%,$700-1000,How-To Guides,Educational focus,High,Great for tutorials
Ignas,@DefiIgnas,72000,Micro,DeFi Research,9.1%,$600-900,Deep Dives,Research focused,High,Excellent engagement
Will Clemente,@WClementeIII,340000,Macro,On-Chain Analysis,4.1%,$4000-7000,Data Analysis,Glassnode partnerships,Medium,Data-driven audience
Matti,@mattysino,65000,Micro,DeFi/NFT,6.9%,$500-800,Community Building,Small projects,High,Engaged community
Hasu,@hasufl,180000,Mid-Tier,Protocol Design,5.3%,$2500-4000,Technical Analysis,Research partnerships,Medium,High technical credibility
Kerman Kohli,@kermankohli,52000,Micro,DeFi Product,8.5%,$500-700,Product Reviews,DeFi protocols,High,Product-focused reviews
DegenSpartan,@DegenSpartan,145000,Mid-Tier,Degen Trading,4.7%,$2000-3500,Trading Philosophy,Selective,High,Strong trading community
CL,@CL207,78000,Micro,NFT/DeFi,7.3%,$600-1000,Market Commentary,NFT projects,Medium,Cross-niche audience
Alex Svanevik,@ASvanevik,68000,Micro,On-Chain Data,6.8%,$600-900,Data Insights,Nansen partnerships,High,Data-driven content
Polynya,@apolynya,58000,Micro,Layer 2/Scaling,8.7%,$500-800,Technical Deep Dives,L2 protocols,Medium,Technical but small audience
Delphi Digital,@Delphi_Digital,235000,Mid-Tier,Research,4.9%,$3500-6000,Research Reports,Major protocols,Medium,Professional research firm
Larry Cermak,@lawmaster,195000,Mid-Tier,Industry News,5.2%,$2500-4500,News & Analysis,The Block partnerships,Low,Journalist credibility
Zhu Su,@zhusu,580000,Macro,Trading/VC,2.1%,$10000-20000,Market Commentary,3AC history,Low,Controversial but massive reach
Qiao Wang,@QwQiao,168000,Mid-Tier,Market Structure,5.6%,$2000-3500,Market Analysis,Trading firms,High,Market microstructure expert
Andrew Kang,@Rewkang,145000,Mid-Tier,Trading Strategy,6.3%,$2000-3500,Strategy Threads,Mechanism Capital,High,Strong strategy content
Tyler Reynolds,@Tylerthecreato,42000,Micro,DeFi Yield,9.4%,$400-600,Yield Farming,Small DeFi projects,High,Highest engagement tier
Divine,@Divine_Economy,35000,Micro,Prediction Markets,11.2%,$400-600,Polymarket Analysis,Polymarket focused,High,PERFECT NICHE MATCH
Jordi Alexander,@jordi_baylina,48000,Micro,MEV/Trading,7.9%,$500-700,MEV Strategies,Technical projects,High,Advanced trading audience
Kairos Research,@kairos_research,29000,Micro,Market Research,10.1%,$300-500,Research Threads,Independent,High,Quality research content
Santiago Santos,@santiagoroel,125000,Mid-Tier,DeFi/VC,5.1%,$1500-2500,Investment Thesis,ParaFi Capital,Medium,VC credibility
Blockworks,@Blockworks_,215000,Mid-Tier,Industry News,4.6%,$3000-5000,News & Podcasts,Multiple sponsors,Medium,Media company reach
Ryan Selkis,@twobitidiot,385000,Macro,Industry,3.4%,$5000-9000,Market Commentary,Messari partnerships,Low,Expensive expensive for reach
Chris Burniske,@cburniske,425000,Macro,Crypto VC,3.8%,$6000-10000,Investment Analysis,Placeholder VC,Low,VC perspective valuable
DCF GOD,@dcfgod,82000,Micro,Valuation,8.6%,$700-1100,Valuation Models,Independent,High,Financial modeling focus
Miles Deutscher,@milesdeutscher,315000,Macro,Altcoin Research,4.2%,$4000-7000,Altcoin Analysis,Various projects,Medium,Large reach retail audience
Wise Advice,@wiseadvicesumit,48000,Micro,DeFi Gems,9.8%,$500-700,Early Projects,Small cap DeFi,High,Early adopter audience
Dynamo DeFi,@Dynamo_Patrick,55000,Micro,DeFi Strategy,8.1%,$500-800,Strategy Content,Protocol partnerships,High,Strategy-focused community
The Wolf Of All Streets,@scottmelker,485000,Macro,Trading/Podcast,3.1%,$7000-12000,Podcast & Analysis,Bitcoin conferences,Low,Podcast reach but expensive
Lark Davis,@TheCryptoLark,995000,Macro,Altcoins/YouTube,2.8%,$10000-18000,YouTube + Twitter,Many sponsors,Low,Too expensive massive reach
Altcoin Daily,@AltcoinDailyio,1200000,Macro,News/YouTube,2.3%,$12000-20000,Daily News,Multiple sponsors,Low,YouTube focused too expensive
BitBoy Crypto,@Bitboy_Crypto,1050000,Macro,News/YouTube,2.1%,$15000-25000,Controversial News,Many sponsors,Low,Controversial reputation
Sheldon Evans,@sheldonevans_,145000,Mid-Tier,Sports/Crypto,5.9%,$2000-3000,Sports Betting Tips,Betting platforms,High,SPORTS CRYPTO CROSSOVER
Oddsjam,@OddsJam,68000,Micro,Sports Betting,7.4%,$700-1000,Betting Analytics,Sportsbook partners,High,Sports betting audience
Bet The Process,@BetTheProcess,92000,Micro,NFL Betting,6.8%,$800-1200,NFL Analysis,DraftKings partnerships,High,NFL prediction overlap
Action Network,@ActionNetworkHQ,285000,Mid-Tier,Sports Betting,4.5%,$3500-6000,Betting News,Major sportsbooks,Medium,Mainstream betting audience
Pickswise,@Pickswise,125000,Mid-Tier,Multi-Sport Betting,5.2%,$2000-3500,Multi-Sport Picks,Various sportsbooks,Medium,Cross-sport audience
AI Economist,@AIEconomist,35000,Micro,AI Economics,10.5%,$400-600,AI Market Analysis,Research focused,High,AI crypto crossover
Trent McConaghy,@trentmc0,48000,Micro,AI Blockchain,8.8%,$500-700,AI Integration,Ocean Protocol,High,AI DeFi integration expert
WhaleWire,@WhaleFinder,22000,Micro,Whale Tracking,12.1%,$300-400,On-Chain Alerts,Independent,High,Small but engaged following
Crypto Rover,@rovercrc,685000,Macro,Altcoin News,2.6%,$8000-14000,News & Updates,Various sponsors,Low,Too general high cost
Uncomplication,@UncomplicationP,18000,Micro,DeFi Simplified,13.5%,$250-400,Simple Explanations,Educational,High,Highest engagement rate
Not Boring,@packyM,165000,Mid-Tier,Web3 Strategy,6.1%,$2500-4000,Long-form Analysis,Newsletter focus,Medium,Strategic thinking audience